fill	x	y	PANEL	group	xmin	xmax	ymin	ymax
#F9F9F9	20	70	1	-1	19.5	20.5	69.5	70.5
#F7F7F7	21	70	1	-1	20.5	21.5	69.5	70.5
#F9F9F9	22	70	1	-1	21.5	22.5	69.5	70.5
#F6F6F6	23	70	1	-1	22.5	23.5	69.5	70.5
#F6F6F6	24	70	1	-1	23.5	24.5	69.5	70.5
#F7F7F7	25	70	1	-1	24.5	25.5	69.5	70.5
#000000	1	93	1	-1	0.5	1.5	92.5	93.5
#676767	2	93	1	-1	1.5	2.5	92.5	93.5
#C8C8C8	3	93	1	-1	2.5	3.5	92.5	93.5
#BEBEBE	4	93	1	-1	3.5	4.5	92.5	93.5
#E6E6E6	5	93	1	-1	4.5	5.5	92.5	93.5
#E6E6E6	6	93	1	-1	5.5	6.5	92.5	93.5
#EBEBEB	7	93	1	-1	6.5	7.5	92.5	93.5
#EBEBEB	8	93	1	-1	7.5	8.5	92.5	93.5
#FAFAFA	9	93	1	-1	8.5	9.5	92.5	93.5
#FAFAFA	10	93	1	-1	9.5	10.5	92.5	93.5
#FBFBFB	11	93	1	-1	10.5	11.5	92.5	93.5
#FBFBFB	12	93	1	-1	11.5	12.5	92.5	93.5
#FAFAFA	13	93	1	-1	12.5	13.5	92.5	93.5
#FAFAFA	14	93	1	-1	13.5	14.5	92.5	93.5
#FAFAFA	15	93	1	-1	14.5	15.5	92.5	93.5
#FFFFFF	16	93	1	-1	15.5	16.5	92.5	93.5
#FFFFFF	17	93	1	-1	16.5	17.5	92.5	93.5
#FFFFFF	18	93	1	-1	17.5	18.5	92.5	93.5
#FFFFFF	19	93	1	-1	18.5	19.5	92.5	93.5
#FDFDFD	20	93	1	-1	19.5	20.5	92.5	93.5
#FEFEFE	21	93	1	-1	20.5	21.5	92.5	93.5
#FDFDFD	22	93	1	-1	21.5	22.5	92.5	93.5
#FEFEFE	23	93	1	-1	22.5	23.5	92.5	93.5
#FDFDFD	24	93	1	-1	23.5	24.5	92.5	93.5
#FDFDFD	25	93	1	-1	24.5	25.5	92.5	93.5
#000000	1	71	1	-1	0.5	1.5	70.5	71.5
#888888	2	71	1	-1	1.5	2.5	70.5	71.5
#C5C5C5	3	71	1	-1	2.5	3.5	70.5	71.5
#E2E2E2	4	71	1	-1	3.5	4.5	70.5	71.5
#F3F3F3	5	71	1	-1	4.5	5.5	70.5	71.5
#FBFBFB	6	71	1	-1	5.5	6.5	70.5	71.5
#FFFFFF	7	71	1	-1	6.5	7.5	70.5	71.5
#FDFDFD	8	71	1	-1	7.5	8.5	70.5	71.5
#FBFBFB	9	71	1	-1	8.5	9.5	70.5	71.5
#EFEFEF	10	71	1	-1	9.5	10.5	70.5	71.5
#EDEDED	11	71	1	-1	10.5	11.5	70.5	71.5
#EDEDED	12	71	1	-1	11.5	12.5	70.5	71.5
#EDEDED	13	71	1	-1	12.5	13.5	70.5	71.5
#ECECEC	14	71	1	-1	13.5	14.5	70.5	71.5
#EFEFEF	15	71	1	-1	14.5	15.5	70.5	71.5
#EFEFEF	16	71	1	-1	15.5	16.5	70.5	71.5
#EFEFEF	17	71	1	-1	16.5	17.5	70.5	71.5
#EFEFEF	18	71	1	-1	17.5	18.5	70.5	71.5
#EFEFEF	19	71	1	-1	18.5	19.5	70.5	71.5
#EFEFEF	20	71	1	-1	19.5	20.5	70.5	71.5
#EFEFEF	21	71	1	-1	20.5	21.5	70.5	71.5
#EFEFEF	22	71	1	-1	21.5	22.5	70.5	71.5
#EFEFEF	23	71	1	-1	22.5	23.5	70.5	71.5
#F0F0F0	24	71	1	-1	23.5	24.5	70.5	71.5
#F0F0F0	25	71	1	-1	24.5	25.5	70.5	71.5
#000000	1	8	1	-1	0.5	1.5	7.5	8.5
#8A8A8A	2	8	1	-1	1.5	2.5	7.5	8.5
#FFFFFF	3	8	1	-1	2.5	3.5	7.5	8.5
#A8A8A8	4	8	1	-1	3.5	4.5	7.5	8.5
#CACACA	5	8	1	-1	4.5	5.5	7.5	8.5
#C9C9C9	6	8	1	-1	5.5	6.5	7.5	8.5
#C8C8C8	7	8	1	-1	6.5	7.5	7.5	8.5
#C7C7C7	8	8	1	-1	7.5	8.5	7.5	8.5
#BBBBBB	9	8	1	-1	8.5	9.5	7.5	8.5
#C9C9C9	10	8	1	-1	9.5	10.5	7.5	8.5
#C9C9C9	11	8	1	-1	10.5	11.5	7.5	8.5
#C9C9C9	12	8	1	-1	11.5	12.5	7.5	8.5
#C9C9C9	13	8	1	-1	12.5	13.5	7.5	8.5
